scope	unit	array	gene	n_spots	n_detected	detection_fraction	mean_log1p_cp10k
biopsy	UQ_B26	VLP121_A	MMP9	465	33	0.07096774193548387	0.06387307202415679
biopsy	UQ_B26	VLP121_A	MMP14	465	184	0.3956989247311828	0.30314405858548343
biopsy	UQ_B26	VLP121_A	PLAU	465	38	0.08172043010752689	0.05286601325223375
biopsy	UQ_B26	VLP121_A	PLAT	465	46	0.0989247311827957	0.06864902607434632
biopsy	UQ_B26	VLP121_A	TIMP1	465	405	0.8709677419354839	1.3765733989248625
biopsy	UQ_B26	VLP121_A	TIMP2	465	177	0.38064516129032255	0.3151755400515082
biopsy	UQ_B27	VLP121_A	SERPINE1	590	85	0.1440677966101695	0.08822983710298274
biopsy	UQ_B27	VLP121_A	SPON1	590	49	0.08305084745762711	0.06408396380911356
biopsy	UQ_B27	VLP121_A	ITGAV	590	149	0.25254237288135595	0.1709059964346747
biopsy	UQ_B27	VLP121_A	ITGB5	590	302	0.511864406779661	0.37231180169426037
biopsy	UQ_B27	VLP121_A	MMP2	590	185	0.3135593220338983	0.3039915103140702
biopsy	UQ_B27	VLP121_A	MMP9	590	15	0.025423728813559324	0.01936001697967846
biopsy	UQ_B27	VLP121_A	MMP14	590	213	0.3610169491525424	0.28809702520589997
biopsy	UQ_B27	VLP121_A	PLAU	590	38	0.06440677966101695	0.042559554637271076
biopsy	UQ_B27	VLP121_A	PLAT	590	69	0.11694915254237288	0.08878386365063796
biopsy	UQ_B27	VLP121_A	TIMP1	590	482	0.8169491525423729	0.944369847217512
biopsy	UQ_B27	VLP121_A	TIMP2	590	231	0.39152542372881355	0.2941522905076127
biopsy	UQ_B28	VLP121_A	SERPINE1	117	44	0.37606837606837606	0.2240350561192176
biopsy	UQ_B28	VLP121_A	SPON1	117	13	0.1111111111111111	0.09402724789551475
biopsy	UQ_B28	VLP121_A	ITGAV	117	45	0.38461538461538464	0.21925258970766306
biopsy	UQ_B28	VLP121_A	ITGB5	117	69	0.5897435897435898	0.3469474529445489
biopsy	UQ_B28	VLP121_A	MMP2	117	50	0.42735042735042733	0.3598146130135689
biopsy	UQ_B28	VLP121_A	MMP9	117	8	0.06837606837606838	0.04611870282316929
biopsy	UQ_B28	VLP121_A	MMP14	117	43	0.36752136752136755	0.2376715224907457
biopsy	UQ_B28	VLP121_A	PLAU	117	7	0.05982905982905983	0.03619878686525161
biopsy	UQ_B28	VLP121_A	PLAT	117	9	0.07692307692307693	0.04640543290186943
biopsy	UQ_B28	VLP121_A	TIMP1	117	107	0.9145299145299145	1.2311336581917505
biopsy	UQ_B28	VLP121_A	TIMP2	117	58	0.49572649572649574	0.37567668731091974
biopsy	UQ_B29	VLP121_D	SERPINE1	361	23	0.06371191135734072	0.08188531176095801
biopsy	UQ_B29	VLP121_D	SPON1	361	2	0.00554016620498615	0.005792662207099983
biopsy	UQ_B29	VLP121_D	ITGAV	361	39	0.10803324099722991	0.14537879209026655
biopsy	UQ_B29	VLP121_D	ITGB5	361	64	0.1772853185595568	0.24198349300847466
biopsy	UQ_B29	VLP121_D	MMP2	361	52	0.1440443213296399	0.20238676910076758
biopsy	UQ_B29	VLP121_D	MMP9	361	3	0.008310249307479225	0.010123253494544964
biopsy	UQ_B29	VLP121_D	MMP14	361	57	0.15789473684210525	0.20249978775061067
biopsy	UQ_B29	VLP121_D	PLAU	361	13	0.036011080332409975	0.044724690762341965
biopsy	UQ_B29	VLP121_D	PLAT	361	6	0.01662049861495845	0.02182847283522589
biopsy	UQ_B29	VLP121_D	TIMP1	361	202	0.5595567867036011	0.9109769108325232
biopsy	UQ_B29	VLP121_D	TIMP2	361	62	0.17174515235457063	0.24733947090060465
biopsy	UQ_B30	VLP121_D	SERPINE1	405	66	0.16296296296296298	0.16490196445124342
biopsy	UQ_B30	VLP121_D	SPON1	405	8	0.019753086419753086	0.01800907196771118
biopsy	UQ_B30	VLP121_D	ITGAV	405	20	0.04938271604938271	0.04682592910377364
