gene_upper	metadata_logFC	metadata_PValue	metadata_FDR	supplement_swap_logFC	supplement_swap_PValue	supplement_swap_FDR	author_AvsQ_ATAC_logFC	author_MASH_ATAC_logFC	author_AvsQ_RNA_logFC	author_MASH_RNA_logFC	author_sum_sig	mouse_progression_logFC	mouse_progression_FDR	mouse_regression_logFC	mouse_regression_FDR	mouse_residual_logFC	mouse_residual_FDR	mouse_fate	human_positive_both	human_nominal_both	human_fdr_any_010	author_four_way	mouse_positive_residual	mouse_persistent	cross_species_direction	functional_support	evidence_score	classification
RRNAD1	-0.323258334494892	0.247942509724313	0.645830652836786	-0.199944864233056	0.48387577968768	0.780666906162311		0.627970276931797			1.0								False	False	False	False	False	False	False		0	insufficient_or_context_specific
NEMF	0.144123265058476	0.247982332506188	0.645830652836786	0.0622283433541978	0.612929066561302	0.850256876199477						-0.0447594653813538	0.886337907728528	-0.429169500221142	0.0600757878989589	-0.473928965602496	0.0526568418028421	partial_or_other	True	False	False	False	False	False	False		0	cross_species_direction_conflict
SENP2	0.201423103662454	0.248359903997893	0.646387089570654	-0.0655766078864452	0.708369713205416	0.893638108503159				0.0520590357033475	1.0	-0.158121458504703	0.56724880758769	0.0921327561677904	0.689565874743376	-0.0659887023369122	0.800741159144445	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
LIMD1	-0.386996780466802	0.248417044509918	0.646387089570654	-0.466645420088626	0.161041892654729	0.543541307772207	0.693227559765807				1.0	0.212087869264756	0.407328235360787	-0.0645793835836779	0.78043078980711	0.147508485681078	0.532242534791447	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
AC010737.1	0.994758674505264	0.248467523135271	0.646387089570654	-0.0277979512756054	0.974533803132761	0.992488462764126													False	False	False	False	False	False	False		0	insufficient_or_context_specific
ARFGEF1	0.180175280309678	0.248502102345831	0.646387089570654	0.282965871965561	0.0603023022204385	0.429268745755419						-0.108262126320423	0.743210363848798	0.03476133864616	0.904538829071086	-0.0735007876742629	0.801846654427446	partial_or_other	True	False	False	False	False	False	False		0	cross_species_direction_conflict
AL136295.1	0.406108848155538	0.24875094355071	0.646874990642463	0.52723721959491	0.138382104894114	0.523810858054217													True	False	False	False	False	False	False		0	insufficient_or_context_specific
TNFAIP1	-0.367320203537772	0.249081407784084	0.647217814295563	-0.213300910597406	0.504667935937192	0.792781441396351						-0.151523993356027	0.667345616128091	0.489916158236727	0.072917402172368	0.3383921648807	0.233702026616879	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
UQCRC1	0.311400876906142	0.249198076237171	0.647217814295563	0.171865536118737	0.525276638239102	0.804676662787375						-0.158939351134102	0.688936764998849	0.700978371536538	0.0376063844170889	0.542039020402435	0.102370356417083	partial_or_other	True	False	False	False	False	False	False		0	cross_species_direction_conflict
AL359710.1	0.293999170968945	0.249230135123533	0.647217814295563	-0.0584812479091757	0.816595846059772	0.936230700610385													False	False	False	False	False	False	False		0	insufficient_or_context_specific
AL139260.1	0.1860933542768	0.249531400248687	0.647787687195879	0.235426245458117	0.139632616111144	0.525014658440692			0.0775605474789419		1.0								True	False	False	False	False	False	False		0	insufficient_or_context_specific
MT-CYB	-0.32065307412379	0.249691388371895	0.648043677096967	-0.216038671950329	0.440215908023415	0.756769095948255													False	False	False	False	False	False	False		0	insufficient_or_context_specific
BDP1	-0.136950958958365	0.249786763332958	0.648082636184426	-0.111710894474622	0.349140382253774	0.694288655897113						-0.0504154969522458	0.914881531455775	-0.207184674045171	0.508807794493669	-0.257600170997417	0.448716521868339	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
LARP1B	-0.180787911799939	0.250067681271703	0.648382755124421	-0.138276939935789	0.390035387632377	0.722218665388488						-0.489205114838289	0.103344360140156	0.368860098711194	0.163637185005837	-0.120345016127095	0.684448066895664	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
TET3	-0.192397109518947	0.250240222044403	0.648511601459206	-0.0960111360423985	0.575827926223515	0.829928048970172						-0.188096749960896	0.5806539569772	-0.125769473827072	0.658688820308847	-0.313866223787968	0.278268778131434	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
TTC27	0.235154415786041	0.250603104107919	0.649251379273091	0.277831745845279	0.170651851801008	0.550991514163622						-0.003908141731371	0.993658320585987	-0.137986798575135	0.654856960683749	-0.141894940306506	0.687812477277199	partial_or_other	True	False	False	False	False	False	False		0	cross_species_direction_conflict
LITAF	-0.357937853563434	0.250728322593567	0.649251379273091	-0.606519916227997	0.043966636645213	0.393650849907072						0.103445018429374	0.706776681862378	0.113427849212415	0.598580409001527	0.216872867641789	0.332670203724069	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
C20ORF194	0.18834729332547	0.250814101818615	0.649251379273091	0.304387642537922	0.0597675727345348	0.428473540531152													True	False	False	False	False	False	False		0	insufficient_or_context_specific
ARHGAP18	0.420900589298514	0.250818391693156	0.649251379273091	0.630574883861379	0.0768965521341487	0.455668688469891		0.7154178490145101			1.0	-0.455648515128577	0.189794555669877	-0.428651818431	0.167107147567351	-0.884300333559578	0.0192797801662944	partial_or_other	True	False	False	False	False	False	False		0	cross_species_direction_conflict
PDE7B	-0.321533713082104	0.25083314794989	0.649251379273091	-0.157284019502567	0.577742244502657	0.83075298180061						-0.549444888924106	0.297263695934094	0.566049475537245	0.196130965826194	0.0166045866131384	0.976910451551985	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
FAM168B	-0.141749316239453	0.25090798086598	0.649285897544858	-0.18634890429065	0.125722789036009	0.507996233320616	0.82273372685192	1.25875574170459			2.0	0.218093438524145	0.472779016849149	0.21306168040955	0.383912031028419	0.431155118933695	0.109383866510683	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
TELO2	-0.419150861281161	0.251116896368809	0.649412941929359	-0.59070228598502	0.09974274336587	0.478125555523304		0.92014803030237			1.0	0.258787040100612	0.520316567244718	-0.971454807657493	0.0123395386190866	-0.712667767556881	0.0594430145391538	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
AC013394.1	0.226680217864707	0.251121668790324	0.649412941929359	0.104440407210045	0.597679993995891	0.842278397346603				0.0229133487956801	1.0								True	False	False	False	False	False	False		0	insufficient_or_context_specific
ADAMTSL1	-0.560303758393977	0.251672074024886	0.650427292942485	-0.541398984808473	0.268771613224773	0.632971449177233		0.466600934260579			1.0	0.244204186896693	0.583620487806782	-0.836090693124957	0.0337170069446658	-0.591886506228264	0.127541175466943	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
MAD1L1	-0.19498690103585	0.251728367676934	0.650427292942485	-0.199739233395732	0.239250491528731	0.606713331305531		1.27168718659909			1.0	-0.443649729158279	0.188107042079834	-0.115483951519865	0.707860106483928	-0.559133680678144	0.0837070033475816	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
TNN	-0.515907095718036	0.251752195274959	0.650427292942485	-0.508301810498685	0.259667491580168	0.622885940784012		1.04776494540221			1.0								False	False	False	False	False	False	False		0	insufficient_or_context_specific
MMP19	-0.837626571697472	0.251834760790238	0.650427292942485	-1.28260587958847	0.0745550264172477	0.452862231765951	0.210123933939778				1.0	0.102448247589445	0.840958580277727	0.41690233938941	0.229466096723946	0.519350586978855	0.168467507999703	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
STT3A	-0.321495466750829	0.25184189937004	0.650427292942485	-0.0952087251916075	0.737483063873625	0.906654190542353													False	False	False	False	False	False	False		0	insufficient_or_context_specific
AC104986.2	0.222497377667054	0.252070228469876	0.650857782388103	0.342976265814512	0.0842814164056956	0.464779732481256													True	False	False	False	False	False	False		0	insufficient_or_context_specific
SLC4A1AP	-0.235573430213143	0.252563390717767	0.651520820478842	-0.120627724087251	0.573275553002065	0.828221577530898						0.0335036451175559	0.930095922530229	0.339106414860842	0.159583465631992	0.372610059978398	0.159044166203214	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
AL023755.1	-0.90023002619814	0.252573850939562	0.651520820478842	-1.11100931786284	0.15060416131313	0.533583468169136													False	False	False	False	False	False	False		0	insufficient_or_context_specific
RNF43	-0.826905057186386	0.25291632017434	0.65212460222666	-0.778754946587229	0.286225145054016	0.64687121300967						-0.443015152302309	0.309283509391854	0.0762619178324532	0.855068913981196	-0.366753234469856	0.353594734463862	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
SNW1	-0.172536845680474	0.252931449717576	0.65212460222666	-0.0977101231630618	0.526866004033339	0.804819865166353						-0.288648478059233	0.265128245341405	0.219872165058267	0.322084284060207	-0.0687763130009663	0.792871789850276	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
LINC00623	0.200498978966153	0.253134053501515	0.652487631071531	0.266128271796656	0.123466123827233	0.505248083014988													True	False	False	False	False	False	False		0	insufficient_or_context_specific
RPL14	0.420791780480622	0.253407837068821	0.653033913539812	0.625796485207168	0.0883609689004508	0.468801562638673				0.0305697325956617	1.0								True	False	False	False	False	False	False		0	insufficient_or_context_specific
CLSTN3	-0.31511632971731	0.253528070092091	0.653037002638483	-0.193656994084006	0.485568178880581	0.782071323676502						-0.722033720657164	0.159126567854185	0.57659674560258	0.188778959523872	-0.145436975054584	0.774907957211345	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
GCC2-AS1	0.341552854435441	0.253598906083397	0.653037002638483	0.117357043100451	0.694990177858161	0.887804754727944				0.0270144572023798	1.0								True	False	False	False	False	False	False		0	insufficient_or_context_specific
YY1	-0.143829429617081	0.253599828854405	0.653037002638483	0.0215711737381441	0.876244724494422	0.960584757679587		0.295488485383026			1.0	-0.380212101043436	0.21440359893014	-0.4267241044041	0.121278311096508	-0.806936205447537	0.0159316931008995	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
