domain	analyte	endpoint	transform	n_available	n_keys	median_raw	iqr_raw	spearman_rho	spearman_p	analysis_status	adjusted_n	adjusted_n_keys	beta_per_SD	ci_low	ci_high	p_value	model_status	q_value_BH	section	marker_or_phenotype	n_observed	n_positive	proportion	interpretation
LIS	LIS_TC	log_LSM	identity	198.0	198.0	4.865	1.2300000000000004	0.1005613539786678	0.1586459391824493	model_candidate	198.0	198.0	0.043787576003911	0.0038524351404847	0.0837227168673372	0.0316315134621166	fit_HC3	0.0855911540739627	models					
LIS	LIS_TG	CAP_dB_per_m	log1p	198.0	198.0	1.625	1.1175000000000002	0.4453068689400313	4.913592892207979e-11	model_candidate	198.0	198.0	5.329039648419962	1.3487906434476642	9.30928865339226	0.0086868380581746	fit_HC3	0.0363267773341849	models					
LIS	LIS_TG	log_LSM	log1p	198.0	198.0	1.625	1.1175000000000002	0.2028453811304669	0.0041559974119741	model_candidate	198.0	198.0	0.0193341763694171	-0.0193583279935543	0.0580266807323886	0.3273970496380685	fit_HC3	0.4995642488625066	models					
														0.5650678720417956	0.721963640647153				etiology	HBsAg_marker_positive	139.0	90.0	0.6474820143884892	marker_or_partial_phenotype_not_definitive_etiology
														0.0125551099495949	0.1513499843762966				etiology	anti_HCV_marker_positive	44.0	2.0	0.0454545454545454	marker_or_partial_phenotype_not_definitive_etiology
														0.0400324462361061	0.2897590321171364				etiology	AMA_M2_marker_positive	26.0	3.0	0.1153846153846153	marker_or_partial_phenotype_not_definitive_etiology
														0.8091412294876675	0.8786208825708123				etiology	metabolic_risk_observed	412.0	349.0	0.8470873786407767	marker_or_partial_phenotype_not_definitive_etiology
														0.7034710317835261	0.7871005446497953				etiology	metabolic_steatotic_phenotype	412.0	308.0	0.7475728155339806	marker_or_partial_phenotype_not_definitive_etiology
														0.9907622033849433	1.0000000000000002				etiology	diagnosis_text_available_90d	412.0	412.0	1.0	marker_or_partial_phenotype_not_definitive_etiology
														0.0	0.0092377966150568				etiology	diagnosis_HBV_text	412.0	0.0	0.0	marker_or_partial_phenotype_not_definitive_etiology
														0.0	0.0092377966150568				etiology	diagnosis_HCV_text	412.0	0.0	0.0	marker_or_partial_phenotype_not_definitive_etiology
														0.0004285862248333	0.0136187356493737				etiology	diagnosis_PBC_text	412.0	1.0	0.0024271844660194	marker_or_partial_phenotype_not_definitive_etiology
														0.0066910434088057	0.0314039047611523				etiology	diagnosis_AIH_text	412.0	6.0	0.0145631067961165	marker_or_partial_phenotype_not_definitive_etiology
														0.0004285862248333	0.0136187356493737				etiology	diagnosis_ALD_text	412.0	1.0	0.0024271844660194	marker_or_partial_phenotype_not_definitive_etiology
														0.4207762592248268	0.5166999124062206				etiology	diagnosis_steatotic_liver_text	412.0	193.0	0.4684466019417476	marker_or_partial_phenotype_not_definitive_etiology
